total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
586.5999999999999,251.39999999999998,314.25,483.4615384615384,838.0,251.39999999999998,838.0,15
841.5,495.0,540.0,693.0,792.0,495.0,792.0,20
612.4117647058823,424.2727272727273,464.5882352941177,574.4,628.25,424.2727272727273,628.25,25
487.88235294117646,382.8,362.50000000000006,343.53846153846155,319.0,382.8,319.0,30
479.4,260.3076923076923,282.0,517.0,789.5999999999999,260.3076923076923,789.5999999999999,35
413.4347826086957,289.125,265.86206896551727,257.0,299.83333333333337,289.125,299.83333333333337,40
388.375,239.0,198.02857142857144,204.85714285714283,341.42857142857144,239.0,341.42857142857144,45
279.3846153846154,139.6923076923077,129.7142857142857,151.33333333333331,227.0,139.6923076923077,227.0,50
