S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
475,25,0,379,53,0,0,0,0,0
475,25,0,379,53,0,0,0,0,1
475,25,0,379,53,0,0,0,0,2
475,25,0,379,53,0,0,0,0,3
474,26,0,379,53,0,0,0,0,4
468,32,0,380,54,0,5,0,5,5
463,37,0,381,58,0,10,0,8,6
458,42,0,381,62,0,15,0,10,7
453,47,0,382,63,0,16,0,10,8
449,51,0,382,64,0,16,1,10,9
445,55,0,382,66,0,16,2,11,10
441,59,0,383,71,0,23,2,14,11
436,64,0,383,73,0,25,2,16,12
432,67,0,382,74,1,27,1,19,13
424,74,0,381,74,1,27,1,23,14
419,56,23,379,67,0,13,2,13,15
417,57,23,378,70,1,18,2,13,16
411,63,23,379,72,0,22,2,14,17
402,71,24,378,72,0,22,2,19,18
398,69,30,377,67,0,18,1,20,19
396,66,35,378,72,0,22,2,18,20
388,70,39,379,72,0,22,1,20,21
381,72,44,379,75,0,25,1,16,22
370,78,48,379,76,1,28,0,17,23
362,82,52,379,79,0,29,2,16,24
359,81,56,380,76,0,28,2,17,25
352,83,61,381,77,0,30,2,17,26
345,87,64,383,81,0,29,6,15,27
334,90,72,386,81,0,31,6,19,28
324,94,77,385,81,1,30,7,18,29
319,95,79,383,80,2,33,5,19,30
308,99,85,381,76,1,33,3,20,31
299,101,92,383,79,0,36,3,20,32
294,103,95,385,85,0,42,4,21,33
288,108,96,386,88,0,46,5,22,34
282,105,104,384,88,1,45,4,21,35
279,101,111,385,89,0,45,5,23,36
273,97,121,383,83,0,36,7,24,37
269,92,129,383,85,1,37,6,24,38
263,95,132,383,88,0,39,6,23,39
257,94,139,382,87,0,40,5,22,40
253,90,146,383,86,1,39,4,20,41
251,82,156,382,85,0,35,6,19,42
250,73,166,381,77,0,31,3,20,43
242,77,170,381,78,0,32,3,20,44
239,67,181,378,75,2,28,2,15,45
238,58,190,375,74,1,27,2,14,46
236,56,194,373,73,0,27,2,12,47
233,54,198,371,72,1,27,1,11,48
229,52,204,369,70,0,24,1,11,49
227,52,206,369,72,0,27,2,11,50
