total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
2.2916666666666665,1.736842105263158,2.0,2.4444444444444446,1.5,1.8333333333333333,3.0,15
1.6363636363636365,0.9230769230769231,1.0476190476190477,1.7142857142857142,2.3333333333333335,0.9230769230769231,2.3333333333333335,20
1.6551724137931034,1.1666666666666667,1.0526315789473684,1.125,2.0,1.1666666666666667,2.0,25
1.7142857142857142,0.6,0.7804878048780488,1.105263157894737,1.3333333333333333,0.6,1.3333333333333333,30
1.2962962962962963,0.5,0.7560975609756098,1.2105263157894737,2.0,0.5,2.0,35
1.625,0.5384615384615384,0.5652173913043478,0.6,2.0,0.5384615384615384,2.0,40
1.6,0.5625,0.6521739130434783,0.875,1.0,0.5333333333333333,2.0,45
1.0,0.375,0.5,0.6,,0.375,,50
