S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
470,30,0,116,129,0,0,0,0,0
470,30,0,116,129,0,0,0,0,1
470,30,0,116,129,0,0,0,0,2
467,33,0,116,129,0,0,0,0,3
460,40,0,116,129,0,0,0,0,4
453,47,0,123,136,0,10,0,3,5
447,53,0,126,139,0,20,0,4,6
441,59,0,130,142,0,25,0,7,7
435,65,0,131,143,0,23,2,8,8
421,79,0,133,145,0,22,4,9,9
413,87,0,136,150,0,27,5,14,10
399,101,0,139,153,0,30,6,16,11
394,105,0,140,156,1,36,6,17,12
390,107,0,141,157,2,36,6,22,13
383,114,0,144,161,0,40,7,25,14
372,98,27,137,154,0,29,4,25,15
363,107,27,142,159,0,35,4,26,16
351,115,30,144,161,1,38,3,28,17
343,116,37,146,161,0,41,2,27,18
334,119,43,146,164,0,42,3,30,19
321,126,49,147,163,0,41,5,29,20
315,126,55,150,165,0,43,4,30,21
308,126,61,152,165,1,45,2,33,22
302,119,74,152,165,0,45,2,31,23
294,118,82,157,173,1,53,1,29,24
290,108,96,152,168,0,49,2,24,25
281,113,100,155,169,0,49,4,26,26
277,113,104,155,168,0,51,4,27,27
276,107,111,154,167,0,50,4,26,28
269,102,122,151,164,1,43,4,25,29
264,98,131,151,166,0,45,4,23,30
257,93,143,145,161,0,38,4,24,31
251,91,151,142,158,0,34,5,26,32
245,87,160,138,156,1,34,2,26,33
244,76,172,133,150,0,27,2,21,34
242,71,177,130,147,2,25,1,24,35
238,69,183,130,148,0,25,1,24,36
236,65,189,128,147,0,23,2,25,37
230,64,196,127,147,0,25,2,20,38
226,63,200,126,145,1,24,1,20,39
223,57,209,125,144,0,22,1,16,40
221,55,213,124,143,0,19,2,17,41
218,57,214,126,145,0,22,3,16,42
216,53,220,127,145,0,20,4,14,43
216,47,225,127,146,1,21,3,13,44
216,40,232,126,146,0,19,3,10,45
215,35,238,127,146,0,19,2,8,46
214,30,244,125,143,0,17,1,7,47
213,31,244,125,144,0,19,1,7,48
212,30,246,124,143,0,18,1,7,49
211,27,250,121,140,0,16,0,6,50
