total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
994.0000000000001,710.0,491.5384615384615,697.0909090909091,1384.5,710.0,1384.5,15
928.6666666666667,,636.8000000000001,796.0,796.0,,796.0,20
644.1111111111112,342.8333333333333,340.0,498.66666666666663,822.8000000000001,342.8333333333333,822.8000000000001,25
532.7142857142857,361.6,352.56,480.25,1186.5,361.6,1186.5,30
501.5625,256.8,280.875,341.0625,642.0,256.8,642.0,35
554.5454545454545,213.5,235.6818181818182,305.0,915.0,213.5,915.0,40
399.0,166.25,201.875,234.70588235294116,228.0,166.25,228.0,45
503.5,132.5,216.81818181818184,340.7142857142857,530.0,132.5,530.0,50
