total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
2.3333333333333335,1.6666666666666667,1.1538461538461537,1.6363636363636365,3.25,1.6666666666666667,3.25,15
2.3333333333333335,,1.6,2.0,2.0,,2.0,20
1.7222222222222223,0.9166666666666666,0.9090909090909091,1.3333333333333333,2.2,0.9166666666666666,2.2,25
1.5714285714285714,1.0666666666666667,1.04,1.4166666666666667,3.5,1.0666666666666667,3.5,30
1.5625,0.8,0.875,1.0625,2.0,0.8,2.0,35
1.8181818181818181,0.7,0.7727272727272727,1.0,3.0,0.7,3.0,40
1.4,0.5833333333333334,0.7083333333333334,0.8235294117647058,0.8,0.5833333333333334,0.8,45
1.9,0.5,0.8181818181818182,1.2857142857142858,2.0,0.5,2.0,50
