total,SD,not SD,timestep
17,1,16,0
17,1,16,1
17,1,16,2
17,1,16,3
21,1,20,4
22,3,19,5
25,5,20,6
31,6,25,7
37,6,31,8
44,7,37,9
51,7,44,10
53,9,44,11
61,12,49,12
68,19,49,13
69,21,48,14
57,15,42,15
64,17,47,16
69,21,48,17
68,22,46,18
74,22,52,19
76,24,52,20
77,24,53,21
76,26,50,22
71,24,47,23
70,26,44,24
73,28,45,25
71,23,48,26
72,19,53,27
76,21,55,28
76,23,53,29
79,23,56,30
77,21,56,31
76,22,54,32
74,25,49,33
75,25,50,34
70,24,46,35
68,23,45,36
68,24,44,37
65,20,45,38
62,19,43,39
60,17,43,40
55,12,43,41
55,12,43,42
56,8,48,43
51,7,44,44
49,6,43,45
50,8,42,46
48,11,37,47
48,11,37,48
52,13,39,49
53,17,36,50
